pmid,pmcid,doi,publication_types,mesh_humans,mesh_animals,mesh_terms,checked_at
27885969,PMC5493079,10.1186/s13054-016-1208-6,Conference Proceedings,no,no,NR,2026-09-12
35041590,,10.1111/ner.13510,Journal Article,yes,no,Action Potentials; Electric Stimulation; Evoked Potentials; Feasibility Studies; Humans; Spinal Cord; Spinal Cord Stimulation,2026-09-12
38139521,PMC10747670,10.3390/s23249675,Journal Article,yes,no,Humans; Pain Measurement; Shoulder Pain,2026-09-12
40100883,PMC11957733,10.1371/journal.pone.0315343,Comparative Study; Journal Article,yes,no,Humans; Machine Learning; Surveys and Questionnaires; Wearable Electronic Devices,2026-09-12
40796769,PMC12344049,10.1038/s41598-025-14238-y,Journal Article,yes,no,"Deep Learning; Electrocardiography; Female; Galvanic Skin Response; Humans; Male; Pain; Pain Measurement; Signal Processing, Computer-Assisted",2026-09-12
40164059,,10.1097/cin.0000000000001302,Journal Article,yes,no,"Convolutional Neural Networks; Deep Learning; Facial Expression; Humans; Infant; Infant, Newborn; Neural Networks, Computer; Pain Measurement",2026-09-12
29546805,PMC5858615,10.1177/1744806918763658,"Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't",yes,yes,Animals; Automation; Facial Expression; Humans; Mice; Nerve Net; Pain; Postoperative Care; Video Recording,2026-09-12
40006452,PMC11860027,10.3390/s25041223,Journal Article,yes,no,"Deep Learning; Delivery of Health Care; Facial Expression; Humans; Internet of Things; Neural Networks, Computer; Pain; Pain Measurement; Video Recording",2026-09-12
40096220,PMC11902865,10.3390/s25051436,Journal Article,yes,no,"Algorithms; Electrocardiography; Federated Learning; Humans; Machine Learning; Neural Networks, Computer; Pain; Pain Measurement; Signal Processing, Computer-Assisted; Wavelet Analysis",2026-09-12
35088735,,10.1016/j.neurom.2021.11.014,Journal Article; Multicenter Study,yes,no,"Action Potentials; Electrodes, Implanted; Evoked Potentials; Humans; Prospective Studies; Spinal Cord Stimulation",2026-09-12
39453291,,10.1016/j.neurom.2024.08.005,Journal Article; Observational Study,yes,no,Adult; Aged; Chronic Pain; Female; Humans; Male; Middle Aged; Pain Measurement; Pilot Projects; Prospective Studies; Raynaud Disease; Spinal Cord Stimulation; Treatment Outcome,2026-09-12
41153333,PMC12564096,10.3390/diagnostics15202661,Journal Article,no,no,NR,2026-09-12
37106687,PMC10135816,10.3390/bioengineering10040500,Journal Article; Review,no,no,NR,2026-09-12
40271647,PMC12353991,10.1097/aco.0000000000001508,Journal Article; Review,yes,no,"Acute Pain; Algorithms; Anesthesia, Conduction; Artificial Intelligence; Chronic Pain; Humans; Machine Learning; Pain Management; Pain Measurement; Ultrasonography, Interventional",2026-09-12
38231823,,10.1109/tbme.2024.3355215,"Journal Article; Research Support, Non-U.S. Gov't",yes,no,"Adolescent; Child; Child, Preschool; Deep Learning; Electroencephalography; Female; Humans; Male; Pain; Pain Measurement; Scalp; Signal Processing, Computer-Assisted",2026-09-12
37100924,PMC10133304,10.1038/s41746-023-00810-1,Journal Article; Review,no,no,NR,2026-09-12
29946251,PMC6006917,10.3389/fnagi.2018.00117,Journal Article,no,no,NR,2026-09-12
37972595,,10.1016/j.neuron.2023.10.021,"Journal Article; Research Support, Non-U.S. Gov't",yes,yes,Animals; Electric Stimulation; Humans; Pain; Paresthesia; Rats; Sensation; Spinal Cord; Spinal Cord Stimulation; Swine,2026-09-12
35878817,,10.1016/j.expneurol.2022.114178,"Journal Article; Research Support, Non-U.S. Gov't; Review",yes,no,Humans; Neuronal Plasticity; Recovery of Function; Spinal Cord; Spinal Cord Injuries; Spinal Cord Stimulation,2026-09-12
40039359,,10.1109/embc53108.2024.10781616,Journal Article,yes,no,Acute Pain; Algorithms; Deep Learning; Facial Expression; Humans; Pain Measurement; Video Recording,2026-09-12
40652630,,10.1016/j.sleep.2025.106664,"Case Reports; Journal Article; Research Support, N.I.H., Extramural; Research Support, Non-U.S. Gov't; Review",yes,no,Aged; Chronic Pain; Female; Humans; Neuralgia; Restless Legs Syndrome; Spinal Cord Stimulation; Treatment Outcome,2026-09-12
30625000,,10.1080/17434440.2019.1567325,Journal Article; Review,yes,no,"Algorithms; Chronic Pain; Feedback; Ganglia, Spinal; Humans; Spinal Cord Stimulation; Wireless Technology",2026-09-12
41681083,,10.1080/14737175.2026.2632285,Journal Article; Review,yes,yes,Animals; Extremities; Humans; Pain Management; Spinal Cord; Spinal Cord Stimulation; Torso,2026-09-12
24974775,,10.1111/ner.12170,"Journal Article; Research Support, Non-U.S. Gov't",yes,no,"Electric Stimulation; Humans; Models, Neurological; Nervous System; Nervous System Diseases; Neurotransmitter Agents; Posture; Signal Processing, Computer-Assisted",2026-09-12
39097739,PMC11297625,10.1186/s12904-024-01526-z,Journal Article,yes,no,"Adult; Aged; Aged, 80 and over; Cancer Pain; Cohort Studies; Electrocardiography; Female; Galvanic Skin Response; Humans; Male; Middle Aged; Pain Management; Pain Measurement",2026-09-12
41366265,PMC12689790,10.1038/s41598-025-27404-z,Journal Article,no,yes,Animals; Cats; Facial Expression; Female; Generative Artificial Intelligence; Male; Pain Measurement,2026-09-12
41930234,PMC13039019,10.3389/fpain.2026.1752958,Journal Article; Review,no,no,NR,2026-09-12
42558820,PMC13438283,10.3389/fped.2026.1784197,Journal Article,no,no,NR,2026-09-12
39788578,PMC11774282,10.22514/jofph.2024.008,Journal Article,no,yes,"Animals; Deep Learning; Disease Models, Animal; Facial Expression; Mice; Neural Networks, Computer; Pain Measurement; Trigeminal Neuralgia",2026-09-12
39845012,PMC11750553,10.1016/j.heliyon.2024.e41558,Journal Article,no,no,NR,2026-09-12
33018277,,10.1109/embc44109.2020.9176644,Journal Article,yes,no,"Algorithms; Electroencephalography; Humans; Neural Networks, Computer; Pain; Pain Perception",2026-09-12
39333541,PMC11436824,10.1038/s41597-024-03878-w,"Dataset; Journal Article; Research Support, Non-U.S. Gov't",yes,no,Algorithms; Humans; Machine Learning; Pain; Pain Measurement; Skin Temperature,2026-09-12
23574118,PMC3691100,10.1056/nejmoa1204471,"Journal Article; Research Support, N.I.H., Extramural; Research Support, U.S. Gov't, Non-P.H.S.",yes,no,"Adult; Analgesics, Opioid; Artificial Intelligence; Brain; Brain Mapping; Female; Hot Temperature; Humans; Magnetic Resonance Imaging; Male; Pain; Pain Measurement; Piperidines; ROC Curve; Remifentanil; Sensitivity and Specificity; Young Adult",2026-09-12
