requested_doi,doi,pmid,pmcid,status,checked_at
10.1001/jamaneurol.2021.4998,10.1001/jamaneurol.2021.4998,34998276,PMC8742908,resolved,2026-09-12
10.1002/brb3.71713,10.1002/brb3.71713,42670051,PMC13527223,resolved,2026-09-12
10.1002/ejp.70313,10.1002/ejp.70313,42377977,PMC13317760,resolved,2026-09-12
10.1002/ibra.70010,10.1002/ibra.70010,42023252,PMC13097579,resolved,2026-09-12
10.1002/jsp2.1230,10.1002/jsp2.1230,36994457,PMC10041392,resolved,2026-09-12
10.1002/pne2.12007,10.1002/pne2.12007,35546868,PMC8974881,resolved,2026-09-12
10.1002/pne2.12060,10.1002/pne2.12060,35547946,PMC8975206,resolved,2026-09-12
10.1002/pne2.70001,10.1002/pne2.70001,40066435,PMC11891568,resolved,2026-09-12
10.1007/978-3-031-16437-8_72,10.1007/978-3-031-16437-8_72,36939418,PMC10018439,resolved,2026-09-12
10.1007/978-3-031-64892-2_31,10.1007/978-3-031-64892-2_31,39523286,PMC11841932,resolved,2026-09-12
10.1007/s00482-020-00468-8,10.1007/s00482-020-00468-8,,,error,2026-09-12
10.1007/s00482-020-00473-x,10.1007/s00482-020-00473-x,,,error,2026-09-12
10.1007/s00482-026-00951-8,10.1007/s00482-026-00951-8,,,error,2026-09-12
10.1007/s00702-019-02092-y,10.1007/s00702-019-02092-y,,,error,2026-09-12
10.1007/s10143-020-01299-y,10.1007/s10143-020-01299-y,,,error,2026-09-12
10.1007/s10143-025-03769-7,10.1007/s10143-025-03769-7,40982036,PMC12454492,resolved,2026-09-12
10.1007/s10278-025-01534-2,10.1007/s10278-025-01534-2,40355693,PMC13103195,resolved,2026-09-12
10.1007/s10916-025-02148-5,10.1007/s10916-025-02148-5,,,error,2026-09-12
10.1007/s11227-022-04439-x,10.1007/s11227-022-04439-x,35382385,PMC8972989,resolved,2026-09-12
10.1007/s11571-026-10517-0,10.1007/s11571-026-10517-0,42488365,PMC13388622,resolved,2026-09-12
10.1007/s11916-025-01374-3,10.1007/s11916-025-01374-3,,,error,2026-09-12
