ref_no,doi,url,raw_gost
1,10.1097/j.pain.0000000000001939,https://pubmed.ncbi.nlm.nih.gov/32694387/,"The revised International Association for the Study of Pain definition of pain: concepts, challenges, and compromises / S. N. Raja, D. B. Carr, M. Cohen [et al.] // Pain. — 2020. — Vol. 161, no. 9. — P. 1976–1982. — DOI: 10.1097/j.pain.0000000000001939. — URL: https://pubmed.ncbi.nlm.nih.gov/32694387/ (дата обращения: 06.09.2026)."
2,10.1016/j.pain.2004.09.012,https://pubmed.ncbi.nlm.nih.gov/15621359/,"Core outcome measures for chronic pain clinical trials: IMMPACT recommendations / R. H. Dworkin, D. C. Turk, J. T. Farrar [et al.] // Pain. — 2005. — Vol. 113, no. 1–2. — P. 9–19. — DOI: 10.1016/j.pain.2004.09.012. — URL: https://pubmed.ncbi.nlm.nih.gov/15621359/ (дата обращения: 06.09.2026)."
3,10.1016/s0304-3959(01)00349-9,https://pubmed.ncbi.nlm.nih.gov/11690728/,"Clinical importance of changes in chronic pain intensity measured on an 11-point numerical pain rating scale / J. T. Farrar, J. P. Young Jr., L. LaMoreaux [et al.] // Pain. — 2001. — Vol. 94, no. 2. — P. 149–158. — DOI: 10.1016/S0304-3959(01)00349-9. — URL: https://pubmed.ncbi.nlm.nih.gov/11690728/ (дата обращения: 06.09.2026)."
4,10.1109/taffc.2019.2946774,https://ieeexplore.ieee.org/document/8865626/,"Automatic Recognition Methods Supporting Pain Assessment: A Survey / P. Werner, D. Lopez-Martinez, S. Walter [et al.] // IEEE Transactions on Affective Computing. — 2022. — Vol. 13, no. 1. — P. 530–552. — DOI: 10.1109/TAFFC.2019.2946774. — URL: https://ieeexplore.ieee.org/document/8865626/ (дата обращения: 06.09.2026)."
5,10.1016/j.cmpb.2023.107365,https://pubmed.ncbi.nlm.nih.gov/36764062/,"Gkikas S., Tsiknakis M. Automatic assessment of pain based on deep learning methods: A systematic review // Computer Methods and Programs in Biomedicine. — 2023. — Vol. 231. — Art. 107365. — DOI: 10.1016/j.cmpb.2023.107365. — URL: https://pubmed.ncbi.nlm.nih.gov/36764062/ (дата обращения: 06.09.2026)."
6,10.1038/s41746-023-00810-1,https://pubmed.ncbi.nlm.nih.gov/37100924/,"A systematic review of neurophysiological sensing for the assessment of acute pain / R. Fernandez Rojas, N. Brown, G. Waddington, R. Goecke // npj Digital Medicine. — 2023. — Vol. 6, no. 1. — Art. 76. — DOI: 10.1038/s41746-023-00810-1. — URL: https://pubmed.ncbi.nlm.nih.gov/37100924/ (дата обращения: 06.09.2026)."
7,10.1038/s41746-025-02241-6,https://pubmed.ncbi.nlm.nih.gov/41540230/,"Pain assessment using physiological responses/markers in different types of pain: a scoping review / C. Camacho-Navas, L. Li, K. Poply [et al.] // npj Digital Medicine. — 2026. — Vol. 9. — Art. 64. — DOI: 10.1038/s41746-025-02241-6. — URL: https://pubmed.ncbi.nlm.nih.gov/41540230/ (дата обращения: 06.09.2026)."
8,10.1145/3737281,https://dl.acm.org/doi/10.1145/3737281,"A Systematic Review of Multimodal Signal Fusion for Acute Pain Assessment Systems / M. U. Khan, G. Chetty, R. Goecke [et al.] // ACM Computing Surveys. — 2026. — Vol. 58, no. 2. — Art. 48. — P. 48:1–48:35. — DOI: 10.1145/3737281. — URL: https://dl.acm.org/doi/10.1145/3737281 (дата обращения: 06.09.2026)."
9,10.2196/51250,https://pubmed.ncbi.nlm.nih.gov/38607660/,"Application of AI in Multilevel Pain Assessment Using Facial Images: Systematic Review and Meta-Analysis / J. Huo, Y. Yu, W. Lin [et al.] // Journal of Medical Internet Research. — 2024. — Vol. 26. — Art. e51250. — DOI: 10.2196/51250. — URL: https://pubmed.ncbi.nlm.nih.gov/38607660/ (дата обращения: 06.09.2026)."
10,10.1016/j.jpain.2021.07.011,https://pubmed.ncbi.nlm.nih.gov/34425248/,"Systematic Review of the Effectiveness of Machine Learning Algorithms for Classifying Pain Intensity, Phenotype or Treatment Outcomes Using Electroencephalogram Data / T. Mari, J. Henderson, M. Maden [et al.] // The Journal of Pain. — 2022. — Vol. 23, no. 3. — P. 349–369. — DOI: 10.1016/j.jpain.2021.07.011. — URL: https://pubmed.ncbi.nlm.nih.gov/34425248/ (дата обращения: 06.09.2026)."
