doi,crossref_title,crossref_year,openalex_id,openalex_title,verified_crossref,verified_openalex
10.1016/j.cmpb.2023.107365,Automatic assessment of pain based on deep learning methods: A systematic review,2023,https://openalex.org/W4319455197,Automatic assessment of pain based on deep learning methods: A systematic review,yes,yes
10.1016/j.dib.2025.111992,Multimodal insights into diverse pain experiences: PhysioPain dataset,2025,https://openalex.org/W4413323648,Multimodal insights into diverse pain experiences: PhysioPain dataset,yes,yes
10.1016/j.dib.2026.113131,RheumaPain: a multimodal biosignal dataset for objective pain assessment in pediatric rheumatic diseases,2026,https://openalex.org/W7172336728,RheumaPain: a multimodal biosignal dataset for objective pain assessment in pediatric rheumatic diseases,yes,yes
10.1016/j.jpain.2026.106416,External Validation of EEG-Based Machine Learning Models for Continuous Pain Prediction,2026,https://openalex.org/W7203486271,External Validation of EEG-Based Machine Learning Models for Continuous Pain Prediction,yes,yes
10.1016/j.pain.2004.09.012,Core outcome measures for chronic pain clinical trials: IMMPACT recommendations,2005,https://openalex.org/W3194956376,Core outcome measures for chronic pain clinical trials: IMMPACT recommendations,yes,yes
10.1016/j.pain.2011.11.023,Compound action potentials recorded in the human spinal cord during neurostimulation for pain relief,2012,https://openalex.org/W1990309003,Compound action potentials recorded in the human spinal cord during neurostimulation for pain relief,yes,yes
10.1016/s0304-3959(01)00349-9,Clinical importance of changes in chronic pain intensity measured on an 11-point numerical pain rating scale,2001,https://openalex.org/W2132309748,Clinical importance of changes in chronic pain intensity measured on an 11-point numerical pain rating scale,yes,yes
10.1016/s1474-4422(19)30414-4,"Long-term safety and efficacy of closed-loop spinal cord stimulation to treat chronic back and leg pain (Evoke): a double-blind, randomised, controlled trial",2020,https://openalex.org/W2994842882,"Long-term safety and efficacy of closed-loop spinal cord stimulation to treat chronic back and leg pain (Evoke): a double-blind, randomised, controlled trial",yes,yes
10.1038/ncomms14211,Quantifying cerebral contributions to pain beyond nociception,2017,https://openalex.org/W2588447348,Quantifying cerebral contributions to pain beyond nociception,yes,yes
10.1038/s41593-023-01338-z,First-in-human prediction of chronic pain state using intracranial neural biomarkers,2023,https://openalex.org/W4377245549,First-in-human prediction of chronic pain state using intracranial neural biomarkers,yes,yes
10.1038/s41597-024-03878-w,An Experimental and Clinical Physiological Signal Dataset for Automated Pain Recognition,2024,https://openalex.org/W4402901048,An Experimental and Clinical Physiological Signal Dataset for Automated Pain Recognition,yes,yes
10.1038/s41597-025-04733-2,TAME Pain data release: using audio signals to characterize pain,2025,https://openalex.org/W4409332041,TAME Pain data release: using audio signals to characterize pain,yes,yes
10.1038/s41597-025-05982-x,CoSpine open access simultaneous cortico-spinal fMRI database of thermal pain and motor tasks,2025,https://openalex.org/W4415585911,CoSpine open access simultaneous cortico-spinal fMRI database of thermal pain and motor tasks,yes,yes
10.1038/s41598-025-92111-8,Machine learning predicts spinal cord stimulation surgery outcomes and reveals novel neural markers for chronic pain,2025,https://openalex.org/W4408562101,Machine learning predicts spinal cord stimulation surgery outcomes and reveals novel neural markers for chronic pain,yes,yes
10.1038/s41746-023-00810-1,A systematic review of neurophysiological sensing for the assessment of acute pain,2023,https://openalex.org/W4367049970,A systematic review of neurophysiological sensing for the assessment of acute pain,yes,yes
10.1038/s41746-023-00892-x,Objective wearable measures correlate with self-reported chronic pain levels in people with spinal cord stimulation systems,2023,https://openalex.org/W4385837313,Objective wearable measures correlate with self-reported chronic pain levels in people with spinal cord stimulation systems,yes,yes
10.1038/s41746-025-02241-6,Pain assessment using physiological responses/markers in different types of pain: a scoping review,2026,https://openalex.org/W7124252304,Pain assessment using physiological responses/markers in different types of pain: a scoping review,yes,yes
10.1056/nejmoa1204471,An fMRI-Based Neurologic Signature of Physical Pain,2013,https://openalex.org/W4245057219,An fMRI-Based Neurologic Signature of Physical Pain,yes,yes
10.1073/pnas.2319316121,Monitoring surgical nociception using multisensor physiological models,2024,https://openalex.org/W4402760975,Monitoring surgical nociception using multisensor physiological models,yes,yes
10.1088/1741-2552/aceca4,Evoked compound action potentials during spinal cord stimulation: effects of posture and pulse width on signal features and neural activation within the spinal cord,2023,https://openalex.org/W4385478865,Evoked compound action potentials during spinal cord stimulation: effects of posture and pulse width on signal features and neural activation within the spinal cord,yes,yes
10.1088/2057-1976/ae34b4,Explainable AI for pain perception: subject-independent EEG decoding using DeepSHAP and CNNs,2026,https://openalex.org/W7118782216,Explainable AI for pain perception: subject-independent EEG decoding using DeepSHAP and CNNs,yes,yes
10.1097/j.pain.0000000000001939,"The revised International Association for the Study of Pain definition of pain: concepts, challenges, and compromises",2020,https://openalex.org/W3043476716,"The revised International Association for the Study of Pain definition of pain: concepts, challenges, and compromises",yes,yes
10.1109/cybconf.2013.6617456,The biovid heat pain database data for the advancement and systematic validation of an automated pain recognition system,2013,https://openalex.org/W1985941926,The biovid heat pain database data for the advancement and systematic validation of an automated pain recognition system,yes,yes
10.1109/embc.2018.8513575,Continuous Pain Intensity Estimation from Autonomic Signals with Recurrent Neural Networks,2018,https://openalex.org/W2898878959,Continuous Pain Intensity Estimation from Autonomic Signals with Recurrent Neural Networks,yes,yes
10.1109/fg.2011.5771462,Painful data: The UNBC-McMaster shoulder pain expression archive database,2011,https://openalex.org/W2101545465,Painful data: The UNBC-McMaster shoulder pain expression archive database,yes,yes
10.1109/fg.2018.00044,Deep Multimodal Pain Recognition: A Database and Comparison of Spatio-Temporal Visual Modalities,2018,https://openalex.org/W2786403656,Deep Multimodal Pain Recognition: A Database and Comparison of Spatio-Temporal Visual Modalities,yes,yes
10.1109/jstsp.2016.2535962,Methods for Person-Centered Continuous Pain Intensity Assessment From Bio-Physiological Channels,2016,https://openalex.org/W2314785176,Methods for Person-Centered Continuous Pain Intensity Assessment From Bio-Physiological Channels,yes,yes
10.1109/taffc.2015.2462830,"The Automatic Detection of Chronic Pain-Related Expression: Requirements, Challenges and the Multimodal EmoPain Dataset",2016,https://openalex.org/W2162825184,"The Automatic Detection of Chronic Pain-Related Expression: Requirements, Challenges and the Multimodal EmoPain Dataset",yes,yes
10.1109/taffc.2019.2946774,Automatic Recognition Methods Supporting Pain Assessment: A Survey,2022,https://openalex.org/W2979431738,Automatic Recognition Methods Supporting Pain Assessment: A Survey,yes,yes
10.1109/taffc.2024.3390837,The EmoPain@Home Dataset: Capturing Pain Level and Activity Recognition for People With Chronic Pain in Their Homes,2025,https://openalex.org/W4394938946,The EmoPain@Home Dataset: Capturing Pain Level and Activity Recognition for People With Chronic Pain in Their Homes,yes,yes
10.1111/nicc.70478,Assessment of Pain Intensity Using Deep Learning Models in Non‐Communicative Intensive Care Patients,2026,https://openalex.org/W7154515418,Assessment of Pain Intensity Using Deep Learning Models in Non‐Communicative Intensive Care Patients,yes,yes
10.1136/bmj-2024-082505,"PROBAST+AI: an updated quality, risk of bias, and applicability assessment tool for prediction models using regression or artificial intelligence methods",2025,https://openalex.org/W4408806526,"PROBAST+AI: an updated quality, risk of bias, and applicability assessment tool for prediction models using regression or artificial intelligence methods",yes,yes
10.1136/bmj.n71,The PRISMA 2020 statement: an updated guideline for reporting systematic reviews,2021,https://openalex.org/W3118615836,The PRISMA 2020 statement: an updated guideline for reporting systematic reviews,yes,yes
10.1136/rapm-2024-105346,First evidence of a biomarker-based dose-response relationship in chronic pain using physiological closed-loop spinal cord stimulation,2024,https://openalex.org/W4393020075,First evidence of a biomarker-based dose-response relationship in chronic pain using physiological closed-loop spinal cord stimulation,yes,yes
10.1145/3449068,Chronic Pain Protective Behavior Detection with Deep Learning,2021,https://openalex.org/W3110177420,Chronic Pain Protective Behavior Detection with Deep Learning,yes,yes
10.1155/prm/5131891,Machine Learning and ECG‐Derived Biomarkers for Objective Pain Assessment: An Explainable AI Approach Toward Precision Pain Management,2026,https://openalex.org/W7155486150,Machine Learning and ECG‐Derived Biomarkers for Objective Pain Assessment: An Explainable AI Approach Toward Precision Pain Management,yes,yes
10.1186/s13643-020-01542-z,PRISMA-S: an extension to the PRISMA Statement for Reporting Literature Searches in Systematic Reviews,2021,https://openalex.org/W3123497531,PRISMA-S: an extension to the PRISMA Statement for Reporting Literature Searches in Systematic Reviews,yes,yes
10.1227/neu.0000000000001855,Development of Machine Learning–Based Models to Predict Treatment Response to Spinal Cord Stimulation,2022,https://openalex.org/W4212895422,Development of Machine Learning–Based Models to Predict Treatment Response to Spinal Cord Stimulation,yes,yes
10.1371/journal.pone.0140330,Pain Intensity Recognition Rates via Biopotential Feature Patterns with Support Vector Machines,2015,https://openalex.org/W2216029612,Pain Intensity Recognition Rates via Biopotential Feature Patterns with Support Vector Machines,yes,yes
10.1371/journal.pone.0254108,"Exploration of physiological sensors, features, and machine learning models for pain intensity estimation",2021,https://openalex.org/W3182971338,"Exploration of physiological sensors, features, and machine learning models for pain intensity estimation",yes,yes
10.1371/journal.pone.0307970,Uncertainty quantification in neural-network based pain intensity estimation,2024,https://openalex.org/W4401211220,Uncertainty quantification in neural-network based pain intensity estimation,yes,yes
10.1371/journal.pone.0337726,Classification of chronic pain and spinal cord stimulation response using machine learning in magnetoencephalography data,2025,https://openalex.org/W4417091371,Classification of chronic pain and spinal cord stimulation response using machine learning in magnetoencephalography data,yes,yes
10.3389/fnins.2021.673998,The Evoked Compound Action Potential as a Predictor for Perception in Chronic Pain Patients: Tools for Automatic Spinal Cord Stimulator Programming and Control,2021,https://openalex.org/W3178106888,The Evoked Compound Action Potential as a Predictor for Perception in Chronic Pain Patients: Tools for Automatic Spinal Cord Stimulator Programming and Control,yes,yes
10.3389/fphys.2023.1294577,Transformer encoder with multiscale deep learning for pain classification using physiological signals,2023,https://openalex.org/W4389397172,Transformer encoder with multiscale deep learning for pain classification using physiological signals,yes,yes
10.3390/s21123956,Real-Time High-Level Acute Pain Detection Using a Smartphone and a Wrist-Worn Electrodermal Activity Sensor,2021,https://openalex.org/W3170744252,Real-Time High-Level Acute Pain Detection Using a Smartphone and a Wrist-Worn Electrodermal Activity Sensor,yes,yes
10.3390/s26102947,Connectivity-Based Pain Recognition from fNIRS: Parsimonious Subject-Independent Classification,2026,https://openalex.org/W7160661760,Connectivity-Based Pain Recognition from fNIRS: Parsimonious Subject-Independent Classification,yes,yes
10.3390/s26103020,Real-Time Pain Assessment from Electrodermal Activity Using Deep Learning,2026,https://openalex.org/W7160835082,Real-Time Pain Assessment from Electrodermal Activity Using Deep Learning,yes,yes
10.3390/s26103181,Multimodal Detection of Pain and Anticipation Anxiety from Ultra-Short Duration Wearable Sensors Measurements,2026,https://openalex.org/W7161546277,Multimodal Detection of Pain and Anticipation Anxiety from Ultra-Short Duration Wearable Sensors Measurements,yes,yes
10.3791/59057,Multi-Modal Signals for Analyzing Pain Responses to Thermal and Electrical Stimuli,2019,https://openalex.org/W2934455382,Multi-Modal Signals for Analyzing Pain Responses to Thermal and Electrical Stimuli,yes,yes
10.7326/m18-0850,PRISMA Extension for Scoping Reviews (PRISMA-ScR): Checklist and Explanation,2018,https://openalex.org/W2891378911,PRISMA Extension for Scoping Reviews (PRISMA-ScR): Checklist and Explanation,yes,yes
