record_id,pmid,pmcid,retrieval_status,evidence_url,content_sha256,body_word_count,methods_section,checked_at
R0001,27885969,PMC5493079,not_sought,https://pubmed.ncbi.nlm.nih.gov/27885969/,,,,2026-09-12
R0002,35041590,,not_retrieved,https://pubmed.ncbi.nlm.nih.gov/35041590/,,,,2026-09-12
R0003,38139521,PMC10747670,retrieved_pmc,https://pmc.ncbi.nlm.nih.gov/articles/PMC10747670/,a2a5609898dfe88b07d2e6d1245d1ca45803e8b4bb77b582056c458def6512fb,7870,yes,2026-09-12
R0004,40100883,PMC11957733,not_sought,https://pubmed.ncbi.nlm.nih.gov/40100883/,,,,2026-09-12
R0005,40796769,PMC12344049,retrieved_pmc,https://pmc.ncbi.nlm.nih.gov/articles/PMC12344049/,9a38c2cd8089b0bbc95c1a488b9f34de59a1d75516ad7a6df0023f66fbbb3728,11652,yes,2026-09-12
R0006,40164059,,not_retrieved,https://pubmed.ncbi.nlm.nih.gov/40164059/,,,,2026-09-12
R0007,29546805,PMC5858615,not_sought,https://pubmed.ncbi.nlm.nih.gov/29546805/,,,,2026-09-12
R0008,40006452,PMC11860027,not_sought,https://pubmed.ncbi.nlm.nih.gov/40006452/,,,,2026-09-12
R0009,40096220,PMC11902865,not_sought,https://pubmed.ncbi.nlm.nih.gov/40096220/,,,,2026-09-12
R0010,35088735,,not_retrieved,https://pubmed.ncbi.nlm.nih.gov/35088735/,,,,2026-09-12
R0011,39453291,,not_retrieved,https://pubmed.ncbi.nlm.nih.gov/39453291/,,,,2026-09-12
R0012,41153333,PMC12564096,retrieved_pmc,https://pmc.ncbi.nlm.nih.gov/articles/PMC12564096/,c00058cc3e7e981dc8e6f48205442d7f4389ab7dab6ab0328c3075379decf539,7654,yes,2026-09-12
R0013,37106687,PMC10135816,not_sought,https://pubmed.ncbi.nlm.nih.gov/37106687/,,,,2026-09-12
R0014,40271647,PMC12353991,not_sought,https://pubmed.ncbi.nlm.nih.gov/40271647/,,,,2026-09-12
R0015,38231823,,not_retrieved,https://pubmed.ncbi.nlm.nih.gov/38231823/,,,,2026-09-12
R0016,,,not_sought,https://dl.acm.org/doi/10.1145/3737281,,,,2026-09-12
R0017,37100924,PMC10133304,not_sought,https://pubmed.ncbi.nlm.nih.gov/37100924/,,,,2026-09-12
R0018,29946251,PMC6006917,not_sought,https://pubmed.ncbi.nlm.nih.gov/29946251/,,,,2026-09-12
R0019,37972595,,not_retrieved,https://pubmed.ncbi.nlm.nih.gov/37972595/,,,,2026-09-12
R0020,35878817,,not_sought,https://pubmed.ncbi.nlm.nih.gov/35878817/,,,,2026-09-12
R0021,40039359,,not_retrieved,https://pubmed.ncbi.nlm.nih.gov/40039359/,,,,2026-09-12
R0022,40652630,,not_sought,https://pubmed.ncbi.nlm.nih.gov/40652630/,,,,2026-09-12
R0023,30625000,,not_sought,https://pubmed.ncbi.nlm.nih.gov/30625000/,,,,2026-09-12
R0024,41681083,,not_sought,https://pubmed.ncbi.nlm.nih.gov/41681083/,,,,2026-09-12
R0025,24974775,,not_retrieved,https://pubmed.ncbi.nlm.nih.gov/24974775/,,,,2026-09-12
R0026,39097739,PMC11297625,retrieved_pmc,https://pmc.ncbi.nlm.nih.gov/articles/PMC11297625/,86e64dd379849e525c7151cdaddea9f80d4a299c3149a3d7dbf2e045f6f3fa5b,6260,yes,2026-09-12
R0027,41366265,PMC12689790,not_sought,https://pubmed.ncbi.nlm.nih.gov/41366265/,,,,2026-09-12
R0028,41930234,PMC13039019,not_sought,https://pubmed.ncbi.nlm.nih.gov/41930234/,,,,2026-09-12
R0029,42558820,PMC13438283,retrieved_pmc,https://pmc.ncbi.nlm.nih.gov/articles/PMC13438283/,98ee788ba8eec48e02b9ecf46b72cba04dd24abbbc3abf42ea3c1291a95a5451,7449,yes,2026-09-12
R0030,39788578,PMC11774282,not_sought,https://pubmed.ncbi.nlm.nih.gov/39788578/,,,,2026-09-12
R0031,39845012,PMC11750553,retrieved_pmc,https://pmc.ncbi.nlm.nih.gov/articles/PMC11750553/,c172bd29e90e4467aa05f1637acb914e0bbddcd37eaf6fb6324a38b25a615312,6420,yes,2026-09-12
R0032,33018277,,not_retrieved,https://pubmed.ncbi.nlm.nih.gov/33018277/,,,,2026-09-12
