record_id,study_id,title_abstract_decision,full_text_decision,primary_reason,retrieval_status,decision_basis,evidence_url,reviewer,checked_at,notes
R0001,,exclude,not_assessed,conference_supplement_without_extractable_primary_report,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/27885969/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0002,,include,uncertain,full_text_not_retrieved,not_retrieved,title_abstract_only,https://pubmed.ncbi.nlm.nih.gov/35041590/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0003,S-10.3390/s23249675,include,include,included,retrieved_pmc,title_abstract_and_pmc_full_text,https://pmc.ncbi.nlm.nih.gov/articles/PMC10747670/,single-pass AI-assisted review; author sign-off pending,2026-09-12,potentially_eligible_primary_human_study
R0004,,exclude,not_assessed,secondary_review_commentary_or_guidance,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/40100883/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0005,S-10.1038/s41598-025-14238-y,include,include,included,retrieved_pmc,title_abstract_and_pmc_full_text,https://pmc.ncbi.nlm.nih.gov/articles/PMC12344049/,single-pass AI-assisted review; author sign-off pending,2026-09-12,potentially_eligible_primary_human_study
R0006,,include,uncertain,full_text_not_retrieved,not_retrieved,title_abstract_only,https://pubmed.ncbi.nlm.nih.gov/40164059/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0007,,exclude,not_assessed,non_human_population,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/29546805/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0008,,exclude,not_assessed,text_sentiment_without_biomedical_or_behavioral_pain_signal,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/40006452/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0009,,exclude,not_assessed,methodological_framework_without_verified_human_experiment,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/40096220/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0010,,include,uncertain,full_text_not_retrieved,not_retrieved,title_abstract_only,https://pubmed.ncbi.nlm.nih.gov/35088735/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0011,,include,uncertain,full_text_not_retrieved,not_retrieved,title_abstract_only,https://pubmed.ncbi.nlm.nih.gov/39453291/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0012,S-10.3390/diagnostics15202661,include,include,included,retrieved_pmc,title_abstract_and_pmc_full_text,https://pmc.ncbi.nlm.nih.gov/articles/PMC12564096/,single-pass AI-assisted review; author sign-off pending,2026-09-12,potentially_eligible_primary_human_study
R0013,,exclude,not_assessed,secondary_review_commentary_or_guidance,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/37106687/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0014,,exclude,not_assessed,secondary_review_commentary_or_guidance,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/40271647/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0015,,include,uncertain,full_text_not_retrieved,not_retrieved,title_abstract_only,https://pubmed.ncbi.nlm.nih.gov/38231823/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0016,,exclude,not_assessed,secondary_review_commentary_or_guidance,not_sought,title_abstract,https://dl.acm.org/doi/10.1145/3737281,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0017,,exclude,not_assessed,secondary_review_commentary_or_guidance,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/37100924/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0018,,exclude,not_assessed,technical_description_without_model_evaluation,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/29946251/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0019,,include,uncertain,full_text_not_retrieved,not_retrieved,title_abstract_only,https://pubmed.ncbi.nlm.nih.gov/37972595/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0020,,exclude,not_assessed,secondary_review_commentary_or_guidance,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/35878817/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0021,,include,uncertain,full_text_not_retrieved,not_retrieved,title_abstract_only,https://pubmed.ncbi.nlm.nih.gov/40039359/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0022,,exclude,not_assessed,case_report_and_secondary_discussion,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/40652630/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0023,,exclude,not_assessed,secondary_review_commentary_or_guidance,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/30625000/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
R0024,,exclude,not_assessed,secondary_review_commentary_or_guidance,not_sought,title_abstract,https://pubmed.ncbi.nlm.nih.gov/41681083/,single-pass AI-assisted review; author sign-off pending,2026-09-12,Author verification required before submission
