record_id,study_id,evidence_map_ref_no,article_ref_no,doi,pmid,year,title,url
R0003,S-10.3390/s23249675,,,10.3390/s23249675,38139521,2023,A Comprehensive Study on Pain Assessment from Multimodal Sensor Data.,https://pubmed.ncbi.nlm.nih.gov/38139521/
R0005,S-10.1038/s41598-025-14238-y,,,10.1038/s41598-025-14238-y,40796769,2025,A CrossMod-Transformer deep learning framework for multi-modal pain detection through EDA and ECG fusion.,https://pubmed.ncbi.nlm.nih.gov/40796769/
R0012,S-10.3390/diagnostics15202661,,,10.3390/diagnostics15202661,41153333,2025,A Public Health Approach to Automated Pain Intensity Recognition in Chest Pain Patients via Facial Expression Analysis for Emergency Care Prioritization.,https://pubmed.ncbi.nlm.nih.gov/41153333/
R0026,S-10.1186/s12904-024-01526-z,,,10.1186/s12904-024-01526-z,39097739,2024,Advancing the integration of biosignal-based automated pain assessment methods into a comprehensive model for addressing cancer pain.,https://pubmed.ncbi.nlm.nih.gov/39097739/
R0029,S-10.3389/fped.2026.1784197,,,10.3389/fped.2026.1784197,42558820,2026,AI-Driven vision large language framework for pediatric pain assessment.,https://pubmed.ncbi.nlm.nih.gov/42558820/
R0031,S-10.1016/j.heliyon.2024.e41558,,,10.1016/j.heliyon.2024.e41558,39845012,2025,An AI recognition method for children's clinical operative pain by skin potential (SP) signal.,https://pubmed.ncbi.nlm.nih.gov/39845012/
R0033,S-10.1038/s41597-024-03878-w,12,12,10.1038/s41597-024-03878-w,39333541,2024,An Experimental and Clinical Physiological Signal Dataset for Automated Pain Recognition.,https://pubmed.ncbi.nlm.nih.gov/39333541/
R0034,S-10.1056/nejmoa1204471,30,32,10.1056/nejmoa1204471,23574118,2013,"An fMRI-Based Neurologic Signature of Physical Pain / T. D. Wager, L. Y. Atlas, M. A. Lindquist [et al.]",https://pubmed.ncbi.nlm.nih.gov/23574118/
R0043,S-10.11817/j.issn.1672-7347.2026.250554,,,10.11817/j.issn.1672-7347.2026.250554,42032954,2026,[Application of support vector machine in identifying neuromodulation states in patients with zoster-associated pain].,https://pubmed.ncbi.nlm.nih.gov/42032954/
R0050,S-10.1111/nicc.70478,,49,10.1111/nicc.70478,41983382,2026,Assessment of Pain Intensity Using Deep Learning Models in Non-Communicative Intensive Care Patients.,https://pubmed.ncbi.nlm.nih.gov/41983382/
R0055,S-10.1007/978-3-031-16437-8_72,,,10.1007/978-3-031-16437-8_72,36939418,2022,Attentional Generative Multimodal Network for Neonatal Postoperative Pain Estimation.,https://pubmed.ncbi.nlm.nih.gov/36939418/
R0059,S-10.3390/biomimetics11010051,,,10.3390/biomimetics11010051,41589968,2026,Automated Facial Pain Assessment Using Dual-Attention CNN with Clinically Calibrated High-Reliability and Reproducibility Framework.,https://pubmed.ncbi.nlm.nih.gov/41589968/
R0060,S-10.1177/20552076241259664,,,10.1177/20552076241259664,38846372,2024,Automated facial recognition system using deep learning for pain assessment in adults with cerebral palsy.,https://pubmed.ncbi.nlm.nih.gov/38846372/
R0064,S-10.1109/embc.2018.8512389,,,10.1109/embc.2018.8512389,30440413,2018,Automated Pain Assessment using Electrodermal Activity Data and Machine Learning.,https://pubmed.ncbi.nlm.nih.gov/30440413/
R0065,S-PMID-30713485,,,NR,30713485,2018,Automated Pain Detection in Facial Videos of Children using Human-Assisted Transfer Learning.,https://pubmed.ncbi.nlm.nih.gov/30713485/
R0066,S-10.1038/s41598-025-97885-5,,,10.1038/s41598-025-97885-5,40251301,2025,Automated pain detection using facial expression in adult patients with a customized spatial temporal attention long short-term memory (STA-LSTM) network.,https://pubmed.ncbi.nlm.nih.gov/40251301/
R0072,S-10.1038/s41598-026-57148-3,,,10.1038/s41598-026-57148-3,42288571,2026,Automatic pain assessment from facial action units in ICU patients via various machine learning models.,https://pubmed.ncbi.nlm.nih.gov/42288571/
