pmcid,pmid,doi,article_type,title,body_word_count,methods_section,section_titles,content_sha256,checked_at
PMC10018439,36939418,10.1007/978-3-031-16437-8_72,author-manuscript,References,3469,yes,TITLE; ABSTRACT; INTRO; METHODS; RESULTS; CONCL; REF; FIG; TABLE,b415b20d9fdafdf7c749ea1f777c264e9fbaeb5c5fd1b057a1514749b97f8ab1,2026-09-12
PMC10143826,37112321,10.3390/s23083980,research-article,Experimental Exploration of Multilevel Human Pain Assessment Using Blood Volume Pulse (BVP) Signals,5480,yes,1. Introduction; 2. Materials and Methods; 2.1. Participants; 2.2. Experimental Procedure and Dataset; 2.3. BVP Signal Preprocessing; 2.4. Feature Extraction; 2.4.1. Time Features; 2.4.2. Frequency Features; 2.4.3. Morphological Features; 2.5. Classification Methods; 2.6. Leave One Subject out Cross-Validation; 2.7. Performance Evaluation; 2.8. Overview; 3. Results; 3.1. Experiment 1: No Pain vs. High Pain; 3.2. Experiment 2: No Pain vs. Low Pain; 3.3. Experiment 3: No Pain vs. Low Pain vs. High Pain; 4. Discussion; 5. Conclusions,6976943f049e8a1e578422b9b571b138e99b9df9336139c23314eae9a21c0304,2026-09-12
PMC10273207,37333009,10.3389/fneur.2023.1195923,research-article,Detection of brain regions responsible for chronic pain in osteoarthritis: an fMRI-based neuroimaging study using deep learning,8481,yes,Introduction; Investigating chronic pain in OA patients: insights from fMRI and ML studies; Dataset; Dataset details; Imaging parameters; Preprocessing; First-level analysis (GLM); Data preparation; Experimental setup; Theoretical background; Multi-layer perceptron (MLP); Convolutional neural network (CNN); Experimental setup; Z-score normalization; MLP configurations; CNN configurations; Evaluation methods; Brain regions backtracking; Results; Discussion; Conclusion; Data availability statement; Ethics statement; Author contributions; Funding; Conflict of interest; Publisher’s note; Acknowledgments; References; Associated Data; Data Availability Statement,d57ef0ad520448806eee2fddf3b284576575b1b355d256a6ebf4290a3567fed0,2026-09-12
PMC10321707,37415829,10.3389/fpain.2023.1150264,research-article,Multimodal physiological sensing for the assessment of acute pain,6542,yes,Introduction; Methodology; Participants; Experimental procedure; Pre-processing; Data analysis; Validation of experimental conditions; Feature extraction; Feature selection; Classification; Results; Validation of experimental conditions; Reference values; Classification after feature selection; Identification of pain; Multiclass problem; Pain location; Discussion; Conclusions,8f3ce5e966ca6fa51faec1d1c011c36fa891c04733e0bb66334b8c5c1288edbe,2026-09-12
PMC10330878,37217725,10.1038/s41593-023-01338-z,author-manuscript,References,13008,yes,TITLE; ABSTRACT; INTRO; RESULTS; DISCUSS; METHODS; SUPPL; REF; FIG,eec25faea38a9f2fc16c16cc73b5bdca6f609d39d9f451fa7479c664922cffe7,2026-09-12
PMC10427619,37582839,10.1038/s41746-023-00892-x,research-article,Objective wearable measures correlate with self-reported chronic pain levels in people with spinal cord stimulation systems,8173,yes,"Introduction; Results; Subject participation and compliance; SCS therapy improves pain, function, and quality of life in people with chronic pain; Objective data can be used to passively monitor and predict daily pain level; Objective data can be used to passively monitor and predict other aspects of pain; Important biomarkers for pain; Discussion; Methods; Study design and baseline characteristics; Data collection; Statistical analysis; Data preprocessing and featurization; Predictive models using machine learning; Reporting summary; Supplementary information; Acknowledgements; Author contributions; Data availability; Code availability; Competing interests; Footnotes; Supplementary information; References; Associated Data; Supplementary Materials; Data Availability Statement",897023be5c3d5914d3ba7c2fe6a25621de7cc37b8c38608409f79884c62417bd,2026-09-12
PMC10436358,37146182,10.1097/j.pain.0000000000002900,research-article,Deep learning–guided postoperative pain assessment in children,4397,yes,1. Introduction; 2. Method; 2.1. Clinical pain expression of children dataset; 2.1.1. Participants; 2.1.2. Data collection; 2.1.3. Data annotation; 2.1.4. Data exclusion; 2.1.5. Data processing; 2.2. Pain assessment framework; 2.2.1. Network architecture; 2.2.2. Implementation details; 2.3. Statistical analysis; 3. Results; 3.1. Children characteristics; 3.2. Experimental results; 4. Discussion; Conflict of interest statement; Appendix A. Supplemental digital content; Supplementary Material; Acknowledgements,33e2d9476da6eedaa66e5bbde62e8049f91d86b3de1cd3ae10a83c3cd35f7b95,2026-09-12
PMC10453072,37627921,10.3390/diagnostics13162661,research-article,Video-Based versus On-Site Neonatal Pain Assessment in Neonatal Intensive Care Units: The Impact of Video-Based Neonatal Pain Assessment in Real-World Scenario on Pain Diagnosis and Its Artificial Intelligence Application,5227,yes,1. Introduction; 2. Methods; 2.1. Setting and Participants; 2.2. Video Recording in Real-World Scenario; 2.3. Pain Assessment; 2.4. OS-NPA and VB-NPA; 2.5. Data Analysis; 3. Results; 3.1. Study Population; 3.2. Intra-rater Reliability and Inter-Rater Reliability; 3.3. Comparison of the NIPS Pain Grades between OS-NPA and VB-NPA; 3.4. Impact of Different Label Sources on AI Methods; 4. Discussion; 4.1. High Evaluation Consistency of the VB-NPA; 4.2. VB-NPA for NIPS Pain Grades; 4.3. VB-NPA for AI-NPA; 4.4. Strengths and Limitations; 5. Conclusions; Author Contributions; Institutional Review Board Statement; Informed Consent Statement; Data Availability Statement; Conflicts of Interest; Funding Statement; Footnotes; References; Associated Data; Data Availability Statement,46194571281847e78cac93f4ce7c9a06ed40e4fd46e48180ad8649343bad8b0e,2026-09-12
PMC10730685,38124717,10.3389/fphys.2023.1294577,research-article,Transformer encoder with multiscale deep learning for pain classification using physiological signals,7068,yes,1 Introduction; 2 Related work; 2.1 Pain classification; 2.1.1 Conventional machine learning models; 2.1.2 MLP-based models; 2.1.3 RNN-based models; 2.1.4 CNN-based models; 2.1.5 Limitations; 2.2 Feature extraction; 3 Methodology; 3.1 Multiscale convolutional network (MSCN); 3.2 Squeeze-and-excitation residual network (SEResNet); 3.3 Transformer encoder; 3.3.1 Temporal convolutional network (TCN); 3.3.2 Multi-head attention (MHA); 4 Experimental results; 4.1 BioVid Heat Pain Database; 4.2 Experimental settings; 4.3 Performance of PainAttnNet; 4.4 ROC curve analysis; 4.5 Ablation study; 4.6 Visualization of SE Module Recalibration; 4.7 Sensitive analysis on MSCN scales; 5 Discussion and conclusion; 6 Future work,182d24dd98569fb4c9ea1459aa0b36da77bcf64fe38379194453b91254943dc9,2026-09-12
PMC10747670,38139521,10.3390/s23249675,research-article,A Comprehensive Study on Pain Assessment from Multimodal Sensor Data,7870,yes,1. Introduction; 2. Related Works; 2.1. Datasets; 2.2. Methods; 3. Data Analysis from Acquisition Sensors; 3.1. Data Preparation; 3.2. Variable Analysis; 3.3. Machine Learning Methods; 4. Per-Frame Analysis; 4.1. Data Preparation; 4.2. Proposed Models; 4.2.1. Convolutional Neural Networks (CNNs); 4.2.2. Transformers-Based Architectures; 4.3. Results; 5. Video Analysis; 5.1. Data Analysis; 5.2. Proposed Models; 5.2.1. Video Masked AutoEncoder (VideoMAE); 5.2.2. TimeSformer; 5.2.3. ViViT; 5.3. Results; 6. Discussion; 6.1. Temporal Context and Transformer-Style Architectures; 6.2. Context Impact; 6.3. Proposed Future Directions and Research Opportunities; 7. Conclusions; Acknowledgments; Author Contributions; Data Availability Statement; Conflicts of Interest; Funding Statement; Footnotes; References; Associated Data; Data Availability Statement,a2a5609898dfe88b07d2e6d1245d1ca45803e8b4bb77b582056c458def6512fb,2026-09-12
