record_id,study_id,model_id,ref_no,article_ref_no,doi,pmid,year,synthesis_role,population,pain_type,n_unique_subjects,n_sessions,n_windows,target_name,target_source,target_timing,modality,sensor,sampling_rate,missingness,preprocessing,segmentation,features,architecture,fusion,split_unit,outer_validation,inner_tuning,external_validation,person_level_validation,clinical_sample,metrics,confidence_intervals,calibration,uncertainty,subgroup_analysis,confounders,data_access,code_access,funding,conflicts,evidence_basis,evidence_url,reviewer_notes
R0003,S-10.3390/s23249675,M061-01,NR,NR,10.3390/s23249675,38139521,2023,diagnostic_or_prognostic_model,clinical human,clinical human,NR,NR,NR,pain-related state,NR,concurrent or study-defined; exact timing NR,face/video,face/video,NR,NR,NR,NR,NR,transformer,NA unimodal or NR,NR,NR,NR,NR,NR,yes,accuracy; F1; correlation,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC10747670/,Single-pass extraction; author verification required
R0005,S-10.1038/s41598-025-14238-y,M062-01,NR,NR,10.1038/s41598-025-14238-y,40796769,2025,diagnostic_or_prognostic_model,experimental human,experimental human,NR,NR,NR,pain-related state,experimental or clinical stimulus/procedure,concurrent or study-defined; exact timing NR,EDA/SP; ECG; face/video,EDA/SP; ECG; face/video,NR,NR,NR,NR,NR,transformer; RNN/LSTM; deep neural network,multimodal,external cohort/dataset,external cohort/dataset,NR,yes,yes,no,accuracy,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC12344049/,Single-pass extraction; author verification required
R0012,S-10.3390/diagnostics15202661,M063-01,NR,NR,10.3390/diagnostics15202661,41153333,2025,diagnostic_or_prognostic_model,clinical human,clinical human,NR,NR,NR,reported or annotated pain intensity,NR,concurrent or study-defined; exact timing NR,face/video; speech/audio,face/video; speech/audio,NR,NR,NR,NR,NR,deep neural network,multimodal,NR,NR,NR,NR,NR,yes,accuracy,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC12564096/,Single-pass extraction; author verification required
R0026,S-10.1186/s12904-024-01526-z,M064-01,NR,NR,10.1186/s12904-024-01526-z,39097739,2024,descriptive_validation,clinical cancer pain,clinical cancer pain,NR,NR,NR,reported or annotated pain intensity,participant self-report,concurrent or study-defined; exact timing NR,EDA/SP; ECG,EDA/SP; ECG,NR,NR,NR,NR,NR,NR,multimodal,NR,NR,NR,NR,NR,yes,sensitivity; correlation,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC11297625/,Single-pass extraction; author verification required
R0029,S-10.3389/fped.2026.1784197,M065-01,NR,NR,10.3389/fped.2026.1784197,42558820,2026,diagnostic_or_prognostic_model,clinical pediatric,clinical pediatric,104,NR,NR,pain-related state,NR,concurrent or study-defined; exact timing NR,face/video,face/video,NR,NR,NR,NR,NR,NR,NA unimodal or NR,NR,NR,NR,NR,NR,yes,accuracy; agreement/ICC,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC13438283/,Single-pass extraction; author verification required
R0031,S-10.1016/j.heliyon.2024.e41558,M066-01,NR,NR,10.1016/j.heliyon.2024.e41558,39845012,2025,diagnostic_or_prognostic_model,clinical pediatric,clinical pediatric,237,NR,NR,pain-related state,NR,concurrent or study-defined; exact timing NR,EDA/SP,EDA/SP,NR,NR,NR,NR,NR,random forest,NA unimodal or NR,NR,NR,NR,NR,NR,yes,accuracy; sensitivity,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC11750553/,Single-pass extraction; author verification required
R0033,S-10.1038/s41597-024-03878-w,M012-01,12,12,10.1038/s41597-024-03878-w,39333541,2024,dataset_descriptor,55 healthy experimental + 49 physiotherapy participants,experimental heat pain + clinical physiotherapy pain,104,NR,NR,self-report/CoVAS and NRS,participant self-report,concurrent or study-defined; exact timing NR,"EDA, ECG, BVP, EMG, respiration, temperature","EDA, ECG, BVP, EMG, respiration, temperature",NR,NR,NR,NR,NR,NR,NA unimodal or NR,NA descriptor,NA descriptor,NR,NA,NR,no,NR,NR,NA,NA,NR,PainMonit descriptor; PMCD usable N not reported,open/restricted terms,NR,NR,NR,curated evidence map and available report,https://pmc.ncbi.nlm.nih.gov/articles/PMC11436824/,PainMonit has separate experimental (n=55) and physiotherapy (n=49) parts
R0034,S-10.1056/nejmoa1204471,M030-01,30,32,10.1056/nejmoa1204471,23574118,2013,diagnostic_or_prognostic_model,acute healthy,acute healthy,114,NR,NR,evoked pain,NR,concurrent or study-defined; exact timing NR,fMRI,fMRI,NR,NR,NR,NR,NR,NR,NA unimodal or NR,independent cohorts,independent cohorts,NR,yes,yes,no,NR,NR,no,no,NR,Neurologic Pain Signature; not chronic-pain validation,controlled access,NR,NR,NR,curated evidence map and available report,https://pmc.ncbi.nlm.nih.gov/articles/PMC3691100/,Neurologic Pain Signature; not chronic-pain validation
R0043,S-10.11817/j.issn.1672-7347.2026.250554,M067-01,NR,NR,10.11817/j.issn.1672-7347.2026.250554,42032954,2026,scs_technical_control,SCS chronic pain,SCS chronic pain,21,NR,NR,reported or annotated pain intensity,participant self-report,concurrent or study-defined; exact timing NR,EEG,EEG,NR,NR,NR,NR,NR,SVM,NA unimodal or NR,NR,NR,NR,NR,NR,yes,accuracy; AUC; sensitivity; specificity; correlation,NR,NR,NR,NR,NR,NR,NR,NR,NR,PubMed record and PMC full text,https://pmc.ncbi.nlm.nih.gov/articles/PMC13071591/,Single-pass extraction; author verification required
R0050,S-10.1111/nicc.70478,M059-01,59,49,10.1111/nicc.70478,41983382,2026,diagnostic_or_prognostic_model,clinical ICU,clinical ICU,120,NR,NR,expert-annotated facial pain severity,reported in PubMed abstract/full text,concurrent or study-defined; exact timing NR,facial images,facial images,NR,NR,NR,NR,NR,SVM; random forest; deep neural network,NA unimodal or NR,split unit NR,split unit NR,NR,no,NR,yes,accuracy; AUC; sensitivity; F1; agreement/ICC,NR,no,no,NR,636 images; inter-rater kappa 0.16,article,NR,NR,NR,curated evidence map and available report,https://pmc.ncbi.nlm.nih.gov/articles/PMC13080763/,Assessment of Pain Intensity Using Deep Learning Models in Non-Communicative Intensive Care Patients. 636 images; inter-rater kappa 0.16
